year,n_papers,pct_new_collaborations,mean_topical_dist_coauthors,mean_topical_dist_consecutive,n_coauthor_pairs
2015,17,100.0,0.08204883199315181,0.6666666666666667,177
2016,66,99.4106090373281,0.06505414265107876,0.6605323004848033,1527
2017,38,70.77151335311572,0.1850392535293031,0.49253725997520204,1348
2018,51,99.35567010309278,0.1260904983790056,0.6072763480386992,1552
2019,65,100.0,0.09443987067840864,0.6778390895908823,735
2020,49,98.61861861861861,0.12922290307709194,0.7048121735208315,1665
2021,11,95.1827242524917,0.08356031042908119,0.7001004105921277,602
2022,1,100.0,0.0,0.7001004105921277,15
2023,1,85.71428571428571,0.576167127653575,0.7001932233393472,91
